name,type,rows,cols,density,levels,risk,stability,impact,seed,pressure_band,recommended_use,source_mode,notes
Layered Passage,route,14,14,0.235,7,5,7,3,23564647,balanced,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Reversible Pilot Route,route,9,9,0.27,3,8,4,10,23669376,high-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Escalation Ramp,route,10,10,0.305,4,2,9,8,23774105,low-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Low-Risk Detour,route,11,11,0.095,5,5,6,6,23878834,balanced,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Timed Decision Spine,route,12,12,0.13,6,8,3,4,23983563,high-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Bridge-and-Bypass,route,14,14,0.165,7,2,8,2,24088292,low-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Actor Relay Chain,route,9,9,0.2,3,5,5,9,24193021,balanced,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Narrowing Funnel,route,10,10,0.235,4,8,10,7,24297750,high-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Parallel Workstream,route,11,11,0.27,5,2,7,5,24402479,low-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Recovery Route,route,12,12,0.305,6,5,4,3,24507208,balanced,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Uncertain Transit,route,14,14,0.095,7,8,9,10,24611937,high-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Commitment Threshold,route,9,9,0.13,3,2,6,8,24716666,low-pressure,"timed path, staged process, safe corridor, or escalation sequence",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Cascade Orbit,orbit,8,8,0.135,2,2,3,2,9713021,low-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Dependency Spiral,orbit,9,9,0.17,2,5,8,9,9817750,balanced,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Pressure Halo,orbit,10,10,0.205,3,8,5,7,9922479,high-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Influence Ring,orbit,11,11,0.24,4,2,10,5,10027208,low-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Stakeholder Constellation,orbit,12,12,0.275,5,5,7,3,10131937,balanced,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Resource Orbit,orbit,8,8,0.31,2,8,4,10,10236666,high-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Risk Echo,orbit,9,9,0.345,2,2,9,8,10341395,low-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Immediate-Secondary Loop,orbit,10,10,0.135,3,5,6,6,10446124,balanced,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Hidden Influence Wheel,orbit,11,11,0.17,4,8,3,4,10550853,high-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Timing Dependency Ring,orbit,12,12,0.205,5,2,8,2,10655582,low-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Insight Propagation Orbit,orbit,8,8,0.24,2,5,5,9,10760311,balanced,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Consequence Bloom,orbit,9,9,0.275,2,8,10,7,10865040,high-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Constraint Satellite Field,orbit,10,10,0.31,3,2,7,5,10969769,low-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Actor Reaction Ring,orbit,11,11,0.345,4,5,4,3,11074498,balanced,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Future Option Orbit,orbit,12,12,0.135,5,8,9,10,11179227,high-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Turning-Point Cascade,orbit,8,8,0.17,2,2,6,8,11283956,low-pressure,"actors, dependencies, hidden influences, and consequence cascades",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Adaptive Hybrid,hybrid,10,10,0.175,3,2,3,2,7409123,low-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Grid-Orbit Fusion,hybrid,12,12,0.21,4,5,8,9,7513852,balanced,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Route Matrix,hybrid,14,14,0.245,5,8,5,7,7618581,high-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Tactical Reflection Field,hybrid,16,16,0.28,6,2,10,5,7723310,low-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Decision Topography Composite,hybrid,10,10,0.315,7,5,7,3,7828039,balanced,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Multi-Layer Insight Map,hybrid,12,12,0.35,3,8,4,10,7932768,high-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Scenario Triage Field,hybrid,14,14,0.385,4,2,9,8,8037497,low-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Constraint-and-Cascade Field,hybrid,16,16,0.175,5,5,6,6,8142226,balanced,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Evidence Route Mesh,hybrid,10,10,0.21,6,8,3,4,8246955,high-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Outcome Terrain,hybrid,12,12,0.245,7,2,8,2,8351684,low-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Actor-Path Composite,hybrid,14,14,0.28,3,5,5,9,8456413,balanced,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Dynamic Opportunity Field,hybrid,16,16,0.315,4,8,10,7,8561142,high-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Risk-Stability Hybrid,hybrid,10,10,0.35,5,2,7,5,8665871,low-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Option Influence Terrain,hybrid,12,12,0.385,6,5,4,3,8770600,balanced,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
Reversible Action Map,hybrid,14,14,0.175,7,8,9,10,8875329,high-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
LUMEN Integrated Field,hybrid,16,16,0.21,3,2,6,8,8980058,low-pressure,"mixed situation with interacting paths, actors, constraints, and outcomes",synthetic LUMEN topology library,Modeled scenario pattern; not a diagnosis or proof of physical location.
